c [mM],best recog (Mg),best recog (Ca),MC 90% recog lo (Mg),MC 90% recog hi (Mg),MC 90% recog lo (Ca),MC 90% recog hi (Ca)
1.0,-0.2828504679085686,-0.34324433917644726,-0.31378987243343703,-0.2519110633837002,-0.3623405758813387,-0.3241481024715558
1.0471285480508996,-0.2841639943717862,-0.34523993085837645,-0.3152998207114587,-0.2530281680321137,-0.364568650219981,-0.3259112114967719
1.096478196143185,-0.2855301777039507,-0.3473106058521651,-0.3168256826840583,-0.25423467272384315,-0.3668022529891065,-0.3278189587152237
1.1481536214968828,-0.2869506686685295,-0.3494582530820214,-0.31842916669274873,-0.2554721706443102,-0.3691364269931704,-0.3297800791708724
1.202264434617413,-0.2884271251748203,-0.35168471870760953,-0.32016353975470613,-0.2566907105949344,-0.37157774161011814,-0.33179169580510093
1.2589254117941673,-0.2899612072369937,-0.35399179536994474,-0.3219677502815227,-0.2579546641924647,-0.37410190149182776,-0.3338816892480617
1.318256738556407,-0.2915545713846459,-0.3563812106221729,-0.323846527593105,-0.2592626151761868,-0.37671127399160265,-0.3360511472527431
1.3803842646028848,-0.29320886449691663,-0.3588546145396876,-0.3257916411132822,-0.2606260878805511,-0.3794277040372588,-0.3382815250421164
1.4454397707459274,-0.2949257170335482,-0.36141356651227596,-0.3277410670507685,-0.2621103670163279,-0.38225981983547896,-0.34056731318907296
1.5135612484362082,-0.296706735638784,-0.3640595212306401,-0.3298037427085436,-0.2636097285690244,-0.3852414319532178,-0.3428776105080624
1.5848931924611136,-0.2985534950967761,-0.3667938138904052,-0.33192170436140156,-0.2651852858321506,-0.3882962863159024,-0.34529134146490803
1.6595869074375607,-0.30046752962092604,-0.3696176446491819,-0.3341848513605369,-0.2667502078813152,-0.39144207853585317,-0.34779321076251063
1.7378008287493754,-0.3024503234641127,-0.3725320623856607,-0.3364965227897814,-0.268404124138444,-0.3946526431254453,-0.35041148164587615
1.8197008586099834,-0.3045033008422813,-0.3755379478248839,-0.3389043123669282,-0.27010228931763436,-0.3979755162306107,-0.3531003794191571
1.9054607179632472,-0.30662781517014714,-0.37863599610995635,-0.3414236734041616,-0.2718319569361327,-0.4014142481638432,-0.3558577440560695
1.9952623149688795,-0.30882513761545205,-0.38182669891796106,-0.3440213108730836,-0.2736289643578205,-0.40502127486665646,-0.35863212296926567
2.0892961308540396,-0.31109644498662625,-0.3851103262362461,-0.3466636863729516,-0.2755292036003009,-0.408818037401094,-0.36140261507139815
2.1877616239495525,-0.3134428069784949,-0.38848690793453766,-0.3494309609374392,-0.27745465301955063,-0.41260646718880256,-0.36436734868027276
2.290867652767773,-0.31586517281144744,-0.3919562152882019,-0.35227918866441127,-0.2794511569584836,-0.4166697056369245,-0.3672427249394793
2.3988329190194904,-0.31836435731155,-0.395517742628007,-0.3551886824693994,-0.2815400321537006,-0.42072201075094817,-0.3703134745050658
2.51188643150958,-0.3209410264920294,-0.39917068931168753,-0.3582030825729399,-0.28367897041111884,-0.4249393637651379,-0.37340201485823715
2.6302679918953817,-0.32359568271080796,-0.4029139422320842,-0.36143733319179666,-0.28575403222981927,-0.42917306863536936,-0.37665481582879906
2.7542287033381663,-0.32632864949359774,-0.40674605909477535,-0.3646863514281664,-0.2879709475590291,-0.4334946242906944,-0.3799974938988563
2.884031503126606,-0.32914005612807706,-0.41066525271497856,-0.3680458219088693,-0.2902342903472848,-0.4379184542352127,-0.3834120511947444
3.019951720402016,-0.3320298221508562,-0.4146693765979217,-0.3715996221741785,-0.29246002212753386,-0.4424536567337004,-0.386885096462143
3.1622776601683795,-0.3349976418658116,-0.41875591207849006,-0.3752415195125918,-0.2947537642190314,-0.4471001475981978,-0.39041167655878234
3.311311214825911,-0.3380429690490274,-0.4229219573042604,-0.3789512833370561,-0.29713465476099876,-0.4518498741406819,-0.3939940404678389
3.4673685045253166,-0.34116500201215505,-0.4271642183499962,-0.38276992080742256,-0.29956008321688754,-0.4567479814242318,-0.3975804552757606
3.630780547701014,-0.3443626692117858,-0.4314790027510327,-0.38669633490767324,-0.3020290035158984,-0.46176435565983986,-0.4011936498422255
3.8018939632056115,-0.3476346156071095,-0.4358622157369485,-0.390719148273444,-0.304550082940775,-0.4667702117111861,-0.4049542197627109
3.9810717055349722,-0.3509791899813086,-0.440309359435056,-0.39485077479114034,-0.3071076051714769,-0.47186106788631577,-0.40875765098379624
4.168693834703354,-0.3543944334530522,-0.44481553529508044,-0.39909072796274325,-0.3096981389433612,-0.4770841002311954,-0.4125469703589655
4.36515832240166,-0.35787806941296996,-0.44937544996164025,-0.4034382202731094,-0.31231791855283053,-0.4823778696358806,-0.4163730302873999
4.570881896148751,-0.3614274951250689,-0.4539834247897172,-0.40789214892281234,-0.31496284132732544,-0.48777253496878614,-0.42019431461064827
4.786300923226384,-0.3650397752346919,-0.45863340916004525,-0.4124330954081926,-0.31764645506119116,-0.49323895826333,-0.4240278600567605
5.011872336272724,-0.368711637421832,-0.46331899770663654,-0.4170627796675415,-0.3203604951761225,-0.49872073344130613,-0.42791726197196694
5.248074602497725,-0.3724394704312921,-0.4680334515178268,-0.42179582582259734,-0.3230831150399869,-0.5041735593076436,-0.43189334372801
5.495408738576245,-0.3762193246987131,-0.47276972331590095,-0.4266299753459209,-0.3258086740515053,-0.5097442691956322,-0.43579517743616975
5.7543993733715695,-0.3800469157736446,-0.4775204865593805,-0.43160701118952627,-0.3284868203577629,-0.515351617821431,-0.43968935529732994
6.025595860743578,-0.38391763071746077,-0.48227816834753234,-0.43668551445600995,-0.3311497469789116,-0.5209485389668481,-0.4436077977282165
6.309573444801933,-0.387826537624818,-0.48703498593988837,-0.4418686346464603,-0.3337844406031757,-0.5265668749488023,-0.44750309693097445
6.606934480075961,-0.39176839838270805,-0.4917829866357435,-0.4471410715721613,-0.3363957251932548,-0.5323301199161365,-0.4512358533553505
6.918309709189364,-0.395737684741273,-0.49651409069172203,-0.4524653392807598,-0.3390100302017862,-0.5381174573965851,-0.45491072398685894
7.244359600749901,-0.3997285977256908,-0.5012201368908791,-0.45789127088764087,-0.34156592456374074,-0.5439037772235938,-0.4585364965581643
7.5857757502918375,-0.40373509036930155,-0.5058929303162536,-0.46338626880880507,-0.34408391192979804,-0.5496925549996481,-0.4620933056328591
7.943282347242816,-0.40775089369565976,-0.510524291827231,-0.4689345943599378,-0.3465671930313817,-0.555487143808694,-0.4655614398457681
8.31763771102671,-0.41176954582205294,-0.5151061086898299,-0.4745438889040588,-0.3489952027400471,-0.5612491946414174,-0.4689630227382423
8.709635899560807,-0.41578442400058435,-0.5196303857739126,-0.4801829814256272,-0.3513858665755415,-0.5668660530996522,-0.472394718448173
9.120108393559097,-0.4197887793563879,-0.5240892967024569,-0.48579528841301134,-0.3537822702997645,-0.5724610948795353,-0.47571749852537837
9.549925860214358,-0.4237757740271668,-0.5284752343216517,-0.49144288697755595,-0.3561086610767777,-0.578116837132306,-0.47883363151099734
10.0,-0.42773852035561255,-0.5327808598563699,-0.4971864054961548,-0.3582906352150703,-0.5837280134891082,-0.48183370622363164
14.89795918367347,-0.46002966095497033,-0.5657692664809089,-0.5474721247844849,-0.37258719712545574,-0.6281953002574332,-0.5033432327043845
19.79591836734694,-0.47943383344465396,-0.5835927087117452,-0.5822976755471241,-0.37656999134218383,-0.6557779380789743,-0.511407479344516
24.693877551020407,-0.49173899739473415,-0.5939381904797412,-0.6072734208022157,-0.3762045739872526,-0.6739167809887103,-0.513959599970772
